@relation 'Road Accident Occurence'

@attribute Day_of_week {Monday,Sunday,Friday,Wednesday,Saturday,Thursday,Tuesday}
@attribute Road_surface_conditions {Dry,Wet,Snow,Flood}
@attribute Weather_conditions {Normal,Raining,'Raining and Windy',Cloudy,Other,Windy,Snow,Unknown,'Fog or mist'}
@attribute Number_of_vehicles_involved numeric
@attribute Sex_of_casualty {na,Male,Female}
@attribute Accident_severity {Slight,Serious,Fatal}

@data
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,Male,Slight
Monday,Wet,Normal,2,Female,Slight
Monday,Wet,Normal,2,Female,Slight
Monday,Wet,Normal,2,na,Slight
Friday,Dry,Normal,3,Male,Serious
Friday,Dry,Normal,3,Male,Serious
Friday,Dry,Normal,3,na,Serious
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,na,Serious
Tuesday,Dry,Normal,2,Male,Serious
Monday,Dry,Normal,1,Male,Slight
Wednesday,Wet,Raining,2,Female,Serious
Wednesday,Wet,Raining,2,Male,Serious
Tuesday,Dry,Normal,1,na,Serious
Tuesday,Dry,Normal,1,Male,Serious
Wednesday,Wet,Raining,2,Male,Slight
Wednesday,Wet,Raining,2,na,Slight
Thursday,Dry,Normal,3,Male,Slight
Thursday,Dry,Normal,3,na,Slight
Thursday,Dry,Normal,3,Male,Slight
Saturday,Dry,Unknown,2,na,Slight
Saturday,Dry,Unknown,2,Male,Slight
Thursday,Dry,Normal,2,Female,Serious
Thursday,Dry,Normal,2,Female,Serious
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,na,Slight
Tuesday,Wet,Raining,1,Male,Serious
Tuesday,Wet,Normal,1,Male,Serious
Friday,Dry,Normal,1,na,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,Female,Slight
Saturday,Dry,Normal,2,Female,Serious
Saturday,Dry,Normal,2,Male,Serious
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,Female,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,1,Male,Slight
Wednesday,Wet,Raining,1,Male,Slight
Tuesday,Wet,Normal,2,na,Serious
Tuesday,Wet,Normal,2,Male,Serious
Friday,Dry,Normal,3,na,Slight
Friday,Dry,Normal,3,Male,Slight
Friday,Dry,Normal,3,Female,Slight
Friday,Dry,Normal,3,na,Slight
Friday,Dry,Normal,3,Male,Slight
Sunday,Dry,Normal,1,na,Serious
Friday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,na,Serious
Thursday,Dry,Normal,2,Male,Serious
Thursday,Dry,Normal,2,Male,Serious
Tuesday,Wet,Raining,1,na,Slight
Wednesday,Dry,Normal,2,Female,Slight
Wednesday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,1,na,Serious
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Thursday,Wet,Normal,1,na,Slight
Monday,Dry,Normal,1,Female,Slight
Monday,Dry,Normal,1,Male,Slight
Friday,Wet,Normal,2,na,Serious
Friday,Wet,Normal,2,na,Serious
Monday,Dry,'Raining and Windy',2,Female,Serious
Monday,Dry,'Raining and Windy',2,na,Serious
Tuesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,3,na,Slight
Tuesday,Dry,Normal,3,Female,Slight
Tuesday,Dry,Normal,3,na,Slight
Wednesday,Dry,Normal,2,Female,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,na,Slight
Monday,Wet,Raining,2,Male,Slight
Monday,Wet,Raining,2,na,Slight
Saturday,Wet,Raining,2,na,Serious
Saturday,Wet,Raining,2,Male,Serious
Monday,Dry,Normal,1,na,Slight
Monday,Dry,Normal,1,Male,Slight
Saturday,Wet,Raining,2,na,Slight
Saturday,Wet,Raining,2,Male,Slight
Tuesday,Wet,Raining,2,Male,Slight
Tuesday,Wet,Raining,2,Male,Slight
Sunday,Dry,Normal,1,na,Serious
Thursday,Wet,Raining,2,Male,Slight
Thursday,Wet,Raining,2,na,Slight
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,Male,Slight
Monday,Wet,Normal,1,Male,Fatal
Tuesday,Wet,Raining,3,na,Slight
Tuesday,Wet,Raining,3,Male,Slight
Tuesday,Wet,Raining,3,Female,Slight
Wednesday,Dry,Unknown,1,na,Serious
Monday,Wet,Normal,3,Female,Slight
Monday,Wet,Normal,3,Male,Slight
Monday,Wet,Normal,3,na,Slight
Tuesday,Wet,Other,1,Male,Slight
Sunday,Wet,Normal,2,na,Slight
Sunday,Wet,Normal,2,Male,Slight
Tuesday,Wet,Raining,2,Male,Slight
Tuesday,Wet,Raining,2,na,Slight
Friday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,na,Slight
Thursday,Wet,Raining,1,Female,Slight
Thursday,Wet,Cloudy,2,Male,Serious
Thursday,Wet,Cloudy,2,Female,Serious
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,Male,Slight
Thursday,Wet,Raining,2,na,Slight
Thursday,Wet,Raining,2,Female,Slight
Friday,Dry,Normal,2,na,Serious
Friday,Dry,Normal,2,Male,Serious
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Male,Slight
Wednesday,Wet,Raining,2,na,Slight
Wednesday,Wet,Raining,2,Male,Slight
Wednesday,Wet,Raining,2,na,Slight
Wednesday,Wet,Raining,2,Male,Slight
Friday,Wet,Normal,2,na,Slight
Friday,Wet,Normal,2,Male,Slight
Monday,Wet,Normal,2,na,Slight
Monday,Wet,Normal,2,na,Slight
Saturday,Wet,Raining,2,Male,Serious
Saturday,Wet,Raining,2,Male,Serious
Thursday,Wet,Normal,2,na,Serious
Thursday,Wet,Normal,2,na,Serious
Monday,Wet,Raining,1,Male,Serious
Monday,Wet,Normal,3,Male,Slight
Monday,Wet,Normal,3,na,Slight
Monday,Wet,Normal,3,na,Slight
Friday,Wet,Raining,2,Male,Slight
Friday,Wet,Raining,2,Male,Slight
Thursday,Wet,Normal,2,Male,Slight
Thursday,Wet,Normal,2,Male,Slight
Thursday,Snow,Normal,2,na,Slight
Thursday,Snow,Normal,2,Male,Slight
Thursday,Snow,Normal,2,na,Slight
Saturday,Dry,Normal,1,Female,Slight
Wednesday,Dry,Normal,3,Male,Slight
Wednesday,Dry,Normal,3,na,Slight
Wednesday,Dry,Normal,3,na,Slight
Tuesday,Wet,Normal,2,Male,Slight
Tuesday,Wet,Normal,2,Female,Slight
Wednesday,Wet,Normal,2,na,Slight
Wednesday,Wet,Normal,2,na,Slight
Wednesday,Wet,Normal,2,Female,Slight
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,Female,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,na,Slight
Thursday,Wet,Unknown,2,Male,Slight
Thursday,Wet,Unknown,2,na,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,Female,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Male,Slight
Monday,Wet,Normal,2,Male,Slight
Monday,Wet,Normal,2,na,Slight
Friday,Wet,Normal,2,Male,Slight
Friday,Wet,Normal,2,na,Slight
Saturday,Dry,Normal,4,Male,Slight
Saturday,Dry,Normal,4,na,Slight
Saturday,Dry,Normal,4,Male,Slight
Saturday,Dry,Normal,4,na,Slight
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,na,Slight
Tuesday,Wet,Raining,2,na,Slight
Tuesday,Wet,Raining,2,Male,Slight
Tuesday,Wet,Raining,2,Female,Slight
Tuesday,Wet,Normal,1,Female,Slight
Saturday,Wet,Normal,2,Male,Serious
Saturday,Wet,Normal,2,Female,Serious
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Female,Slight
Sunday,Dry,Normal,2,na,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,Female,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,1,Female,Serious
Wednesday,Dry,Normal,1,na,Slight
Friday,Dry,Normal,1,Female,Slight
Tuesday,Dry,Normal,2,Male,Fatal
Tuesday,Dry,Normal,2,na,Fatal
Monday,Wet,Raining,2,na,Slight
Monday,Wet,Raining,2,Male,Slight
Sunday,Wet,Raining,2,Male,Slight
Sunday,Wet,Raining,2,na,Slight
Sunday,Wet,Raining,2,Male,Slight
Sunday,Wet,Raining,2,na,Slight
Friday,Wet,Other,3,Male,Slight
Friday,Wet,Other,3,na,Slight
Friday,Wet,Other,3,Male,Slight
Thursday,Dry,Normal,1,na,Slight
Friday,Dry,Unknown,2,Male,Slight
Friday,Dry,Unknown,2,na,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,1,na,Slight
Wednesday,Dry,Normal,3,Male,Serious
Wednesday,Dry,Normal,3,Male,Serious
Wednesday,Dry,Normal,3,Male,Serious
Tuesday,Wet,Normal,1,na,Slight
Saturday,Dry,Normal,1,Male,Slight
Saturday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,1,Male,Slight
Monday,Wet,Raining,2,na,Slight
Monday,Wet,Raining,2,Male,Slight
Sunday,Dry,Normal,2,na,Slight
Sunday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,3,Male,Serious
Tuesday,Dry,Normal,3,Female,Serious
Tuesday,Dry,Normal,3,na,Serious
Tuesday,Dry,Normal,3,na,Serious
Sunday,Dry,Normal,1,Male,Slight
Sunday,Dry,Normal,3,Female,Slight
Sunday,Dry,Normal,3,na,Slight
Sunday,Dry,Normal,3,Female,Slight
Thursday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,Female,Slight
Saturday,Dry,Normal,3,na,Slight
Saturday,Dry,Normal,3,Male,Slight
Saturday,Dry,Normal,3,Male,Slight
Saturday,Dry,Normal,3,na,Slight
Saturday,Dry,Normal,3,na,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,Female,Slight
Sunday,Dry,Cloudy,2,Male,Slight
Sunday,Dry,Cloudy,2,na,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,Female,Slight
Tuesday,Dry,Normal,2,Female,Slight
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,3,Female,Slight
Wednesday,Dry,Normal,3,Female,Slight
Wednesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,na,Slight
Saturday,Wet,Raining,1,Male,Slight
Tuesday,Dry,Normal,2,Female,Slight
Tuesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Female,Slight
Wednesday,Wet,Raining,1,na,Serious
Thursday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,3,Female,Slight
Tuesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,3,na,Slight
Friday,Wet,Raining,2,na,Slight
Friday,Wet,Raining,2,Male,Slight
Friday,Dry,Normal,2,Male,Serious
Friday,Dry,Normal,2,Female,Serious
Wednesday,Wet,Normal,2,Male,Slight
Wednesday,Wet,Normal,2,na,Slight
Sunday,Dry,Normal,2,Female,Slight
Sunday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,Male,Serious
Friday,Dry,Normal,2,na,Serious
Wednesday,Dry,Normal,1,Male,Serious
Wednesday,Dry,Normal,1,na,Serious
Friday,Wet,Normal,2,Male,Slight
Friday,Wet,Normal,2,na,Slight
Saturday,Dry,Normal,2,Male,Serious
Saturday,Dry,Normal,2,Male,Serious
Saturday,Dry,Normal,2,na,Serious
Sunday,Dry,Normal,1,Female,Serious
Wednesday,Wet,Normal,3,na,Slight
Wednesday,Wet,Normal,3,Male,Slight
Wednesday,Wet,Normal,3,na,Slight
Wednesday,Wet,Normal,3,Male,Slight
Monday,Wet,Normal,2,na,Slight
Monday,Wet,Normal,2,Male,Slight
Wednesday,Dry,Other,2,na,Slight
Wednesday,Dry,Other,2,Male,Slight
Friday,Wet,Other,2,Male,Slight
Friday,Wet,Other,2,Male,Slight
Friday,Wet,Other,2,Male,Slight
Friday,Wet,Other,2,Female,Slight
Wednesday,Dry,Normal,2,na,Serious
Wednesday,Dry,Normal,2,Female,Serious
Sunday,Dry,Normal,1,na,Serious
Thursday,Dry,Normal,3,Male,Slight
Thursday,Dry,Normal,3,na,Slight
Thursday,Dry,Normal,3,na,Slight
Tuesday,Wet,Raining,2,Male,Slight
Tuesday,Wet,Raining,2,Female,Slight
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,Female,Slight
Monday,Dry,Normal,3,na,Slight
Monday,Dry,Normal,3,Male,Slight
Monday,Dry,Normal,3,na,Slight
Tuesday,Dry,Normal,1,Male,Slight
Saturday,Dry,Normal,4,na,Slight
Saturday,Dry,Normal,4,Male,Slight
Saturday,Dry,Normal,4,na,Slight
Saturday,Dry,Normal,4,Male,Slight
Monday,Dry,Normal,3,Male,Slight
Monday,Dry,Normal,3,na,Slight
Monday,Dry,Normal,3,na,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Female,Slight
Sunday,Dry,Normal,1,Female,Serious
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,3,Male,Slight
Friday,Dry,Normal,3,na,Slight
Friday,Dry,Normal,3,Female,Slight
Thursday,Dry,Normal,1,na,Slight
Saturday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,1,Female,Serious
Wednesday,Dry,Normal,1,na,Serious
Wednesday,Dry,Normal,3,Male,Slight
Wednesday,Dry,Normal,3,na,Slight
Wednesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,3,Male,Slight
Thursday,Dry,Normal,3,Male,Slight
Thursday,Dry,Normal,3,na,Slight
Saturday,Dry,Normal,2,Female,Slight
Saturday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,1,Male,Serious
Saturday,Dry,Normal,1,Female,Serious
Wednesday,Dry,Normal,3,Female,Slight
Wednesday,Dry,Normal,3,na,Slight
Wednesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,1,Male,Serious
Friday,Dry,Normal,1,na,Serious
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,1,Male,Fatal
Sunday,Dry,Normal,1,Female,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Female,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,na,Slight
Sunday,Wet,Raining,2,Male,Fatal
Sunday,Wet,Raining,2,Male,Fatal
Sunday,Wet,Raining,2,na,Fatal
Sunday,Wet,Raining,2,Male,Fatal
Saturday,Dry,Normal,1,na,Slight
Saturday,Dry,Normal,1,Female,Slight
Sunday,Dry,Normal,2,na,Slight
Saturday,Wet,Raining,2,Male,Slight
Saturday,Wet,Other,2,na,Slight
Saturday,Wet,Other,2,na,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Male,Slight
Friday,Wet,Raining,2,Male,Slight
Friday,Wet,Raining,2,na,Slight
Tuesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,3,na,Slight
Tuesday,Dry,Normal,3,Male,Slight
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,1,na,Slight
Sunday,Dry,Normal,1,na,Serious
Thursday,Dry,Normal,1,Male,Slight
Tuesday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,1,na,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,1,Male,Slight
Tuesday,Wet,Raining,2,Male,Slight
Tuesday,Wet,Raining,2,na,Slight
Tuesday,Wet,Raining,2,Male,Slight
Tuesday,Wet,Raining,2,na,Slight
Sunday,Dry,Normal,1,Female,Serious
Thursday,Dry,Unknown,1,na,Serious
Friday,Wet,Raining,1,na,Serious
Friday,Dry,Normal,2,Female,Slight
Friday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,1,na,Slight
Tuesday,Wet,Normal,2,na,Slight
Tuesday,Wet,Normal,2,Male,Slight
Thursday,Dry,Normal,1,Male,Serious
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,1,Male,Serious
Sunday,Dry,Normal,2,na,Slight
Sunday,Dry,Normal,2,Female,Slight
Tuesday,Dry,Normal,1,Male,Serious
Thursday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,1,Female,Slight
Monday,Wet,Normal,2,na,Slight
Monday,Wet,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Female,Serious
Saturday,Dry,Normal,2,Female,Serious
Monday,Dry,Normal,2,Male,Serious
Monday,Dry,Normal,2,Male,Serious
Friday,Dry,Normal,2,Female,Serious
Friday,Dry,Normal,2,na,Serious
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Male,Slight
Tuesday,Wet,Normal,2,Male,Slight
Tuesday,Wet,Normal,2,Male,Slight
Tuesday,Wet,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,na,Serious
Wednesday,Dry,Normal,2,Male,Serious
Thursday,Dry,Normal,2,Male,Serious
Thursday,Dry,Normal,2,na,Serious
Monday,Wet,Raining,3,Female,Serious
Monday,Wet,Raining,3,na,Serious
Monday,Wet,Raining,3,Female,Serious
Wednesday,Dry,Normal,1,Female,Serious
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Female,Slight
Tuesday,Wet,Normal,2,na,Slight
Tuesday,Wet,Normal,2,Female,Slight
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,Male,Slight
Friday,Wet,Normal,2,Female,Slight
Friday,Wet,Normal,2,Female,Slight
Sunday,Dry,Normal,1,Female,Slight
Sunday,Dry,Normal,1,na,Slight
Saturday,Dry,Normal,2,Female,Serious
Saturday,Dry,Normal,2,Female,Serious
Thursday,Wet,Normal,1,na,Serious
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Male,Serious
Saturday,Dry,Normal,2,na,Serious
Saturday,Dry,Normal,2,Male,Serious
Saturday,Dry,Normal,2,na,Serious
Wednesday,Dry,Normal,1,Male,Slight
Saturday,Dry,Normal,1,na,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,1,Male,Slight
Wednesday,Wet,Raining,2,na,Slight
Wednesday,Wet,Raining,2,na,Slight
Thursday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,Male,Slight
Friday,Wet,Normal,1,na,Slight
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,Male,Slight
Monday,Wet,Normal,2,na,Slight
Monday,Wet,Normal,2,Male,Slight
Tuesday,Dry,Normal,3,Female,Slight
Tuesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,3,Female,Slight
Wednesday,Dry,Normal,2,Female,Slight
Wednesday,Dry,Normal,2,Female,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,1,Male,Slight
Sunday,Dry,Normal,2,Female,Slight
Sunday,Dry,Normal,2,na,Slight
Thursday,Wet,Raining,2,na,Slight
Thursday,Wet,Raining,2,Male,Slight
Friday,Wet,Raining,2,na,Slight
Friday,Wet,Raining,2,Male,Slight
Tuesday,Dry,Normal,2,Female,Slight
Tuesday,Dry,Normal,2,na,Slight
Tuesday,Wet,Normal,2,Male,Slight
Tuesday,Wet,Normal,2,na,Slight
Friday,Wet,Raining,2,Male,Slight
Friday,Wet,Raining,2,Female,Slight
Friday,Wet,Raining,2,na,Slight
Wednesday,Wet,Cloudy,2,Male,Slight
Wednesday,Wet,Cloudy,2,Male,Slight
Tuesday,Wet,Raining,2,na,Slight
Tuesday,Wet,Raining,2,Male,Slight
Sunday,Wet,Raining,2,na,Slight
Sunday,Wet,Raining,2,Male,Slight
Sunday,Wet,Raining,2,na,Slight
Wednesday,Wet,Raining,1,Female,Serious
Tuesday,Dry,Normal,3,na,Slight
Tuesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,3,na,Slight
Tuesday,Dry,Normal,3,Female,Slight
Thursday,Dry,Normal,1,na,Slight
Tuesday,Wet,Windy,1,Female,Slight
Friday,Dry,Normal,1,na,Serious
Monday,Wet,Normal,2,Male,Slight
Monday,Wet,Normal,2,na,Slight
Monday,Wet,Normal,2,Female,Slight
Monday,Wet,Normal,2,Male,Slight
Monday,Wet,Normal,2,Male,Slight
Monday,Wet,Raining,2,na,Slight
Monday,Wet,Raining,2,Male,Slight
Thursday,Wet,Raining,2,Male,Slight
Thursday,Wet,Raining,2,na,Slight
Saturday,Wet,Unknown,2,Male,Slight
Saturday,Wet,Unknown,2,na,Slight
Monday,Wet,Raining,2,Female,Slight
Monday,Wet,Raining,2,na,Slight
Tuesday,Dry,Normal,2,Female,Slight
Tuesday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,2,Female,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,1,na,Slight
Monday,Dry,Normal,3,Male,Slight
Monday,Dry,Normal,3,na,Slight
Monday,Dry,Normal,3,na,Slight
Thursday,Wet,Normal,1,Female,Slight
Saturday,Wet,Normal,3,Female,Slight
Saturday,Wet,Normal,3,Male,Slight
Saturday,Wet,Normal,3,Male,Slight
Tuesday,Dry,Normal,2,na,Slight
Tuesday,Dry,Normal,2,Male,Slight
Saturday,Wet,Windy,1,Female,Slight
Thursday,Wet,Normal,1,Female,Slight
Tuesday,Wet,Normal,2,Male,Slight
Tuesday,Wet,Normal,2,Female,Slight
Thursday,Wet,Normal,1,na,Slight
Tuesday,Dry,Normal,2,Male,Serious
Tuesday,Dry,Normal,2,na,Serious
Wednesday,Wet,Normal,1,Male,Slight
Tuesday,Dry,Normal,1,Male,Serious
Tuesday,Wet,Raining,2,na,Slight
Tuesday,Wet,Raining,2,Female,Slight
Thursday,Wet,Cloudy,2,na,Slight
Thursday,Wet,Cloudy,2,Female,Slight
Friday,Wet,Normal,1,Female,Slight
Monday,Wet,Raining,2,Male,Slight
Monday,Wet,Raining,2,Male,Slight
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,na,Slight
Friday,Dry,Windy,1,Male,Slight
Friday,Wet,Raining,2,Male,Slight
Friday,Wet,Raining,2,na,Slight
Thursday,Dry,Normal,1,Male,Fatal
Wednesday,Wet,Raining,2,Male,Slight
Wednesday,Wet,Raining,2,na,Slight
Thursday,Snow,Other,2,Male,Slight
Thursday,Snow,Other,2,na,Slight
Tuesday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,3,na,Slight
Tuesday,Dry,Normal,3,Male,Slight
Wednesday,Dry,Normal,2,Female,Slight
Wednesday,Dry,Normal,2,Female,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,1,na,Serious
Saturday,Wet,Normal,2,Male,Slight
Saturday,Wet,Normal,2,na,Slight
Saturday,Dry,Normal,1,Female,Serious
Thursday,Wet,Normal,1,Male,Slight
Monday,Dry,Normal,1,na,Slight
Monday,Dry,Normal,1,na,Slight
Thursday,Wet,Normal,1,Male,Serious
Friday,Dry,Unknown,1,Male,Serious
Friday,Dry,Unknown,1,Male,Serious
Tuesday,Dry,Normal,1,Female,Slight
Wednesday,Wet,Normal,2,na,Slight
Wednesday,Wet,Normal,2,na,Slight
Saturday,Wet,Normal,1,Male,Slight
Friday,Dry,Normal,1,Female,Serious
Tuesday,Dry,Normal,1,na,Serious
Friday,Dry,Normal,3,Male,Fatal
Friday,Dry,Normal,3,Male,Fatal
Friday,Dry,Normal,3,Male,Fatal
Friday,Dry,Normal,3,Female,Fatal
Thursday,Dry,Normal,1,na,Slight
Monday,Dry,Normal,2,Male,Serious
Monday,Dry,Normal,2,Male,Serious
Friday,Dry,Normal,3,na,Slight
Friday,Dry,Normal,3,Female,Slight
Friday,Dry,Normal,3,na,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,Male,Slight
